,Unnamed: 0,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone,tweetHashtagCt,Weight
19,37106,717457450467594240,Kinda neat there's a Bernie Sanders rally here tonight! News anchors are here and everything! https://t.co/cSxPsQR3nh,0,2,Twitter for iPhone,2016-04-05 21:02:40,473221314,GreenRodan,WigwamAlien,2012-01-24 19:17:53,"Jku(즈쿠!) the fluffy, green, Godzilla-like, hard to pronounce alien! https://t.co/5vgZ0TiNl7 Any and all pronouns! Icon by @MothyWings :)",357,283,Wyoming!,Mountain Time (US & Canada),0,1.0
20,40849,717452012825104384,Bernie Sanders calls for shutting down NY nuke plant - Hot Air https://t.co/1tgMPON1IS,0,0,Twitter Web Client,2016-04-05 20:41:04,533358812,MoberlyG,Jerry,2012-03-22 18:20:40,"Father, Grandfather, Manager, Cowboy, Biker, News Junkie, Conservative, Foodie, Fish slayer with a fly rod",7968,8738,Wyoming,Central Time (US & Canada),0,1.0
21,42190,717450064159858688,RT @kmhollis180: THIS is what keeps me going during #WIPrimary Bernie Sanders PHONEBANKING. https://t.co/rVBusQz07B #BlackLivesMatter #ICan…,3,0,Twitter for iPhone,2016-04-05 20:33:19,522440546,class_ceiling,ClassCeilingWyoming,2012-03-12 17:44:35,Wyoming native and resident. Anti-Fracking and Pro-Bernie! #FeelTheBern #BirdieSanders #WYCaucus #BernieOrBust,989,1211,Wyoming,,3,0.063
22,43993,717447262071353344,9. I fully realize not ritually washing my hands of Sanders after the interview &amp; not pledging fealty to HRC makes me a Bernie stan.,0,0,TweetDeck,2016-04-05 20:22:11,34632393,mattsaler,Matt Saler,2009-04-23 14:56:07,Love Wins.,369,1523,"Grand Rapids (Wyoming), MI",Eastern Time (US & Canada),0,1.0
23,44033,717447197353242624,7. I'm still collecting data points on both D candidates. This interview is just one of many on Sanders.,0,0,TweetDeck,2016-04-05 20:21:56,34632393,mattsaler,Matt Saler,2009-04-23 14:56:07,Love Wins.,369,1523,"Grand Rapids (Wyoming), MI",Eastern Time (US & Canada),0,1.0
24,44090,717447112842149897,6. But that—or any single—interview is not the *definitive* answer about whether Sanders’ policies plans are detailed enough.,0,0,TweetDeck,2016-04-05 20:21:35,34632393,mattsaler,Matt Saler,2009-04-23 14:56:07,Love Wins.,369,1523,"Grand Rapids (Wyoming), MI",Eastern Time (US & Canada),0,1.0
25,44201,717446957451632642,1. So I’ve gone through the Sanders NYDN interview twice now. It’s not great. But I think the reaction to it is—unsurprisingly—overblown.,0,0,TweetDeck,2016-04-05 20:20:58,34632393,mattsaler,Matt Saler,2009-04-23 14:56:07,Love Wins.,369,1523,"Grand Rapids (Wyoming), MI",Eastern Time (US & Canada),0,1.0
26,48555,717441048658763776,9 things Bernie Sanders should've known about but didn't in that Daily News interview... https://t.co/UXPqSDrKp0,0,0,Linkis.com,2016-04-05 19:57:30,15880390,mkaee,Marian,2008-08-17 07:24:42,Liberal Democratic woman in a very red state. Retweets do not constitute an endorsement.,4000,3974,"Wyoming, USA",Mountain Time (US & Canada),0,1.0
27,48846,717440631707045888,"RT @NevilleLouann: Bernie Sanders is NOT prepared for job of POTUS. He's been in Congress for decades.What the heck has he been doing? 
htt…",28,0,Twitter Web Client,2016-04-05 19:55:50,15880390,mkaee,Marian,2008-08-17 07:24:42,Liberal Democratic woman in a very red state. Retweets do not constitute an endorsement.,4000,3974,"Wyoming, USA",Mountain Time (US & Canada),0,1.0
28,49632,717439477858308096,KUOWs Amy Radil attended a caucus meeting and found that many Bernie Sanders supporters are passionate and new to politics.,0,0,Twitter Web Client,2016-04-05 19:51:15,2439862866,hannahey_b,FOLLOW@,2014-04-12 11:04:01,"lover,  owner, band fanatic,  mediocre clarinet player, supernatural obsessed, mitten placed",11,84,Wyoming,Pacific Time (US & Canada),0,1.0
29,6691,717855002992058368,"RT @CBSPolitics: On calls for Sandy Hook apology, Sanders tells @NancyCordes: Maybe Clinton should apologize to Iraq War victims https://t.…",147,0,Twitter for iPad,2016-04-06 23:22:24,440861081,onecowherd,Miriam Pletan,2011-12-19 13:56:42,Rocky Mountain Teabagger. NRA member. Reagan democrat (Calif. raised). Conservative & constitutional fanatic. Small business owner. Pro-Israel.  #tcot. #LNYHBT,1768,2151,Wonderful Wyoming,Mountain Time (US & Canada),0,1.0
30,508,718226056059166721,"""Sanders and Clinton Back Bioenergy, but Activists Say It's the Wrong Alternative"" https://t.co/1UTCrid1hU",0,0,iOS,2016-04-07 23:56:50,34632393,mattsaler,Matt Saler,2009-04-23 14:56:07,Love Wins.,369,1523,"Grand Rapids (Wyoming), MI",Eastern Time (US & Canada),0,1.0
31,1444,718224745762844673,I disagree with Bernie Sanders. Sec. Clinton is the most qualified neoconservative in the race. #Primary2016,0,0,Twitter Web Client,2016-04-07 23:51:38,635157416,CA_Crump,C.A. Crump,2012-07-14 06:12:14,"Monarchist, Bilineal Third Generation Wyoming Native, Western Aristocrat.",25,353,"Laradise, Wyoming",Mountain Time (US & Canada),1,0.265
32,15149,718204846646501376,RT @politico: The Democratic primary is getting nasty. Real nasty. https://t.co/gu1tyJc0Zb | Getty https://t.co/uJsB4PPbGN,49,0,Twitter for iPhone,2016-04-07 22:32:33,50889806,yellowstonemike,Michael P Adams,2009-06-26 02:44:16,"intellectual loving: travel, intelligence, hiking, photography, environment; entrepreneurial endeavor; best practices/SEO/content, marketing/collaboration, GCI",1551,2229,"Jackson, Wyoming",Mountain Time (US & Canada),0,1.0
33,15572,718204278775500800,RT @politico: DNC asks court for more time to deal with Sanders lawsuit https://t.co/rhYh5soOFk | AP Photo https://t.co/SNA5Q9Tiv9,29,0,Twitter for iPhone,2016-04-07 22:30:18,50889806,yellowstonemike,Michael P Adams,2009-06-26 02:44:16,"intellectual loving: travel, intelligence, hiking, photography, environment; entrepreneurial endeavor; best practices/SEO/content, marketing/collaboration, GCI",1551,2229,"Jackson, Wyoming",Mountain Time (US & Canada),0,1.0
34,15839,718203889586012160,RT @INJO: Sanders Says He'll Formally Apologize for Slavery if He's President https://t.co/WWwVJ0U0T4,24,0,Twitter for iPhone,2016-04-07 22:28:45,50889806,yellowstonemike,Michael P Adams,2009-06-26 02:44:16,"intellectual loving: travel, intelligence, hiking, photography, environment; entrepreneurial endeavor; best practices/SEO/content, marketing/collaboration, GCI",1551,2229,"Jackson, Wyoming",Mountain Time (US & Canada),0,1.0
35,24261,718191827577397248,"RT @TheRework: Attacking Hillary's ideas didn't work to win,so you attack Bill Clinton?Weakness is showing Jeff Weaver-Tad Devine-Bernie Sa…",33,0,Twitter for iPhone,2016-04-07 21:40:49,424654706,Iamzteach,michele belcastro,2011-11-30 01:25:27,"After 33 years of teaching, I got smart, retired, and took up golf! Diehard Liberal. Love cats, JFK, and golf, not necessarily in that order! :-)  #UniteBlue",1920,1321,"wyoming, PA",Eastern Time (US & Canada),0,1.0
36,2149,718585190738718721,"RT @mkhammer: *Authentically* RT @emzanotti: If Bernie Sanders hadn't won an accidental political victory, he'd be guy who sells wind chime…",30,0,Twitter for iPhone,2016-04-08 23:43:54,1187711184,jhouse48,John House,2013-02-16 23:01:45,,19,32,Wyomingite in suburban Detroit,Atlantic Time (Canada),0,1.0
37,3975,718581650867683328,"RT @NewyorkWeissman: https://t.co/tDLLReJ0uy ""Monsignor Marcelo Sanchez Coronado...chancellor said it was his idea to invite Sanders."" #Ber…",57,0,Twitter for Android,2016-04-08 23:29:50,80604884,BrianDCreek,Brian Creek,2009-10-07 15:37:36,"Environmentalist/Trout Bum/Writer/Native Landscape Advocate/Greenways,Park & Recreation Consultant/Servant Leader/Grill Meister",2218,2411,Northeast Wyoming,Quito,1,0.265
38,4007,718581594928259072,RT @LiberalLaTchr: BLOOMTURD: WAITING ON YOUR APOLOGY!!! YOU LIED ABO THE VATICAN INVITE.  https://t.co/vhsUcYzvkn https://t.co/fFObt8fSQP,5,0,Twitter for Android,2016-04-08 23:29:37,80604884,BrianDCreek,Brian Creek,2009-10-07 15:37:36,"Environmentalist/Trout Bum/Writer/Native Landscape Advocate/Greenways,Park & Recreation Consultant/Servant Leader/Grill Meister",2218,2411,Northeast Wyoming,Quito,0,1.0
39,4431,718580964029403137,RT @SusanSarandon: Papal official denies report Sanders invited himself to Vatican https://t.co/IX9ynpOvSv via @Reuters,380,0,Twitter for Android,2016-04-08 23:27:07,80604884,BrianDCreek,Brian Creek,2009-10-07 15:37:36,"Environmentalist/Trout Bum/Writer/Native Landscape Advocate/Greenways,Park & Recreation Consultant/Servant Leader/Grill Meister",2218,2411,Northeast Wyoming,Quito,0,1.0
40,4512,718580811495112705,RT @Bipartisanism: JUST IN: Bernie Sanders Shuts Down Vatican Official With This One Masterful… https://t.co/YrS2qPSeRL https://t.co/Q6yrKV…,16,0,Twitter for Android,2016-04-08 23:26:30,80604884,BrianDCreek,Brian Creek,2009-10-07 15:37:36,"Environmentalist/Trout Bum/Writer/Native Landscape Advocate/Greenways,Park & Recreation Consultant/Servant Leader/Grill Meister",2218,2411,Northeast Wyoming,Quito,0,1.0
