,Unnamed: 0,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone,tweetHashtagCt,Weight
114,12123,713129546405416960,RT @NBCPolitics: Chelsea Clinton Slams 'Vitriol' in GOP Race https://t.co/z9qt0cfrnD,13,0,Twitter for iPad,2016-03-24 22:25:07,32820396,alaskawater,JaniceImWithHer,2009-04-18 07:05:42,"Tina, Angela, Steven, and Alison's Mom I BLOCK #Trolls proud to be blocked by @realDonaldTrump BSN Pubic health. #facts. don't piss on my leg & say it's raining",1529,2263,Alaska,,0,1.0
115,12936,713127939357814786,"RT @LindaSuhler: OOPS!
WHERE’S BILL? Clinton AWOL after trashing Obama 
#OhHillNo
https://t.co/XnjXhnmb74",69,0,Twitter for Android,2016-03-24 22:18:44,707383117510672384,AkClinch,Michael Clinch,2016-03-09 01:50:52,#AlaskanonboardTrumpTrain,262,146,"Anchorage, Alaska",,1,0.265
116,14998,713124112173019136,"Watch Kendrick Lamar, George Clinton Beam Up, Get Down in New Video https://t.co/9uAtbQvFGl",0,1,Hootsuite,2016-03-24 22:03:32,155483064,juneauradio,Sean Patrick,2010-06-14 07:38:37,"We just love radio in Alaska, particularly Juneau and I would love your help in making it sound better.",5595,5919,"Juneau, Alaska",,0,1.0
117,15049,713124029335363584,"RT @FoxNews: “#HillaryClinton could be considered a founding member of ISIS.” – Rudy Giuliani https://t.co/1zKS3g4oeK
https://t.co/lFBTYMUE…",867,0,Twitter for Android,2016-03-24 22:03:12,707383117510672384,AkClinch,Michael Clinch,2016-03-09 01:50:52,#AlaskanonboardTrumpTrain,262,146,"Anchorage, Alaska",,1,0.265
118,15277,713123626736701440,RT @loudobbsnews: #LDTPoll Is it a good idea to be led again by a Clinton or a first-term senator endorsed by the Bush family?,803,0,Twitter for Android,2016-03-24 22:01:36,4609452674,pele_my,Alaska for Trump,2015-12-20 05:06:39,"I am a Christian I believe in the Constitution and Donald Trump got my vote. and also all life matters not just one kind. I hate Obama, Hillary,",647,652,"Alaska, USA",,1,0.265
119,17368,713120230084464640,RT @berniethoughts: I HAVE IT ON GOOD AUTHORITY THAT CLINTON DOESN'T PEEL HER STRING CHEESE—SHE JUST BITES THEM,3566,0,Twitter for iPad,2016-03-24 21:48:06,37387025,MaryandBessie,Mary Loedding Sells,2009-05-03 08:05:15,"Born and raised in Pittsburgh, I call Alaska home. Independent, Tea Party Conservative/Libertarian who also proudly wears her Tin Foil Hat. And Single",1006,1060,Alaska,Alaska,0,1.0
120,17688,713119788650930177,"WELL DAMN, COLOR ME SURPRISED! IF COURSE HE USED IT!
Audit shows Sanders campaign saved useful Clinton data -  https://t.co/noMhdTjvBb",21,18,Linkis.com,2016-03-24 21:46:21,4005092840,Aroyaldmd,Glenna C,2015-10-24 18:45:12,"Mom, Grandma, #I'mWithHer Feminist, Proud Liberal, Planned P Volunteer, Love ALASKA fishing cooking , travel, & glass of good Red. ADD ME 2 LIST I'LL BLOCK YOU",1804,1932,"Alaska, USA",,0,1.0
121,18027,713119355920207872,@TheFive there's a flaw in the clean up of Clinton. Obama had control his first 2 years and did nothing.,0,0,Twitter for Android,2016-03-24 21:44:38,2612261504,dcmilfo,Daniel Milford,2014-07-08 20:12:16,"Retired security manager.
Degree in Radio/TV
Promoter/Recruiter 4 the NRA.
Writer of poetry. 
Believer in the Constitution and Bill of rights.",16,55,"Alaska, USA",,0,1.0
122,24059,713107345031598080,RT @Tyler_Tortoise: #Bullcrap Bernie Sanders says he won't run as an independent if he loses to Hillary Clinton https://t.co/6BEaKSbtAo via…,4,0,Twitter for Android,2016-03-24 20:56:54,4005092840,Aroyaldmd,Glenna C,2015-10-24 18:45:12,"Mom, Grandma, #I'mWithHer Feminist, Proud Liberal, Planned P Volunteer, Love ALASKA fishing cooking , travel, & glass of good Red. ADD ME 2 LIST I'LL BLOCK YOU",1803,1933,"Alaska, USA",,1,0.265
123,24912,713105591296598016,RT @_Proud_American: GIULIANI: CLINTON A “FOUNDING MEMBER” OF ISIS https://t.co/P8piPkgDCf https://t.co/t2cT63NcdR,22,0,Twitter for Windows Phone,2016-03-24 20:49:56,707994469778350081,TristanUrbanski,Tristan W. Urbanski,2016-03-10 18:20:10,I am just a guy from Alaska currently studying Japanese in college. I am also starting to delve into politics.,385,878,"Wasilla, Alaska",,0,1.0
